Player,Team,Position,GP,MIN (Total),FT%,FTA,Wingspan (in),Height (in)
Nikola Jokić,DEN,C,65,"2,265",83.1%,480,87,83.5
Victor Wembanyama,SAS,C,64,"1,866",82.7%,450,96,88
Shai Gilgeous-Alexander,OKC,PG,68,"2,259",87.9%,614,83.5,76.5
Kawhi Leonard,LAC,SF,65,"2,085",89.2%,416,87,78
Giannis Antetokounmpo,MIL,PF,36,"1,039",65.0%,357,87,83
Luka Dončić,LAL,SF,64,"2,289",78.0%,645,83,78.5
Donovan Mitchell,CLE,SG,70,"2,342",86.5%,430,82,73.3
Anthony Edwards,MIN,SG,61,"2,137",79.6%,437,81,75
Chet Holmgren,OKC,C,69,"1,997",79.2%,284,90,84
Cade Cunningham,DET,SG,64,"2,172",81.2%,382,84,78
Joel Embiid,PHI,C,38,"1,201",85.4%,335,89,83.8
Kevin Durant,HOU,SF,78,"2,840",87.4%,467,88.8,81
Aaron Gordon,DEN,PF,36,"1,005",76.7%,163,83.8,79.5
Jamal Murray,DEN,SG,75,"2,652",88.7%,390,78.5,75.5
OG Anunoby,NYK,SF,67,"2,224",82.8%,221,86.3,78.3
Evan Mobley,CLE,C,65,"2,074",60.6%,297,88,82
Jaylen Brown,BOS,SF,71,"2,443",79.5%,536,83.8,77.3
Jalen Brunson,NYK,PG,74,"2,590",84.1%,421,76,73
LaMelo Ball,CHA,SG,72,"2,017",89.9%,179,80,78
Rudy Gobert,MIN,C,76,"2,380",52.6%,302,92.5,84.5
Derrick White,BOS,SG,77,"2,625",90.2%,204,79.5,75.3
Jarrett Allen,CLE,C,56,"1,519",70.9%,261,89.3,81
Scottie Barnes,TOR,SF,80,"2,681",81.5%,297,86.8,79
Karl-Anthony Towns,NYK,C,75,"2,322",85.8%,416,87.5,83
Devin Booker,PHX,SG,64,"2,146",87.3%,520,80.3,76.5
James Harden,CLE,SG,70,"2,438",88.4%,524,82.8,76
Bam Adebayo,MIA,C,73,"2,365",77.8%,423,86.8,80.8
De'Aaron Fox,SAS,PG,72,"2,231",76.0%,246,78.5,74
Tyrese Maxey,PHI,PG,70,"2,661",89.2%,416,79,74
Stephen Curry,GSW,PG,43,"1,329",92.3%,221,75.5,74
Jalen Duren,DET,C,70,"1,976",74.7%,430,89.3,81.3
Jimmy Butler III,GSW,SF,38,"1,182",86.4%,287,79.5,78
Sandro Mamukelashvili,TOR,PF,80,"1,751",74.7%,158,85.3,81
Deni Avdija,POR,SF,66,"2,199",80.2%,610,80.5,80.8
Onyeka Okongwu,ATL,PF,74,"2,297",75.7%,202,86,80.3
Alperen Şengün,HOU,C,72,"2,398",69.1%,376,84.5,82
LeBron James,LAL,SF,60,"1,989",73.7%,316,84.3,80.5
Franz Wagner,ORL,SF,34,"1,019",82.3%,198,83.5,81
Neemias Queta,BOS,C,76,"1,926",70.3%,175,88.3,82.8
Lauri Markkanen,UTA,PF,42,"1,443",89.6%,268,83,83
Austin Reaves,LAL,PG,51,"1,762",87.1%,371,78.3,76.5
Nickeil Alexander-Walker,ATL,SG,78,"2,603",90.2%,307,81.5,76.3
Michael Porter Jr.,BKN,PF,52,"1,689",86.0%,228,84.3,81.5
Amen Thompson,HOU,SG,79,"2,953",77.9%,390,84,77.8
Jaren Jackson Jr.,UTA,PF,48,"1,455",80.3%,203,89.3,81.8
Donovan Clingan,POR,C,77,"2,094",68.0%,203,90.8,85.8
CJ McCollum,ATL,SG,76,"2,263",77.2%,237,78.3,74.3
Day'Ron Sharpe,BKN,C,62,"1,160",67.8%,152,84,81
Kristaps Porziņģis,GSW,C,32,769,84.2%,158,90,86.5
Ryan Rollins,MIL,PG,74,"2,375",79.6%,157,81.8,74
Immanuel Quickley,TOR,PG,70,"2,231",82.1%,207,80.3,74
Pascal Siakam,IND,PF,62,"2,057",69.3%,378,87.3,80.3
Moussa Diabaté,CHA,C,73,"1,899",65.9%,176,86.5,81.3
Ausar Thompson,DET,SG,73,"1,896",57.1%,191,84,77.8
Wendell Carter Jr.,ORL,C,78,"2,288",79.2%,250,88.5,80.8
Tobias Harris,DET,PF,63,"1,745",86.6%,157,83,78.5
Ajay Mitchell,OKC,PG,57,"1,473",87.0%,162,78.3,75.3
Jalen Johnson,ATL,SF,72,"2,532",78.8%,382,84.3,79.8
Zion Williamson,NOP,SG,62,"1,841",71.6%,465,82.8,78
Jaden McDaniels,MIN,SF,73,"2,316",83.5%,176,83,81
